OrderDate,Region,Category,Product,Quantity,UnitPrice,Discount,Revenue,Profit
2024-01-01,Central,Electronics,Headphones,2,68.92,0.05,130.95,30.73
2024-01-02,North,Electronics,Headphones,9,218.54,0.02,1927.52,628.57
2024-01-03,Central,Furniture,Cabinet,2,202.09,0.0,404.18,96.2
2024-01-04,East,Furniture,Desk,8,360.77,0.01,2857.3,769.09
2024-01-07,North,Office Supplies,Binder,8,389.0,0.14,2676.32,697.49
2024-01-07,Central,Furniture,Chair,2,358.92,0.02,703.48,188.02
2024-01-07,East,Office Supplies,Stapler,2,190.02,0.08,349.64,77.35
2024-01-08,West,Electronics,Tablet,3,215.79,0.15,550.26,155.35
2024-01-09,North,Office Supplies,Stapler,3,288.61,0.11,770.59,239.74
2024-01-12,Central,Furniture,Cabinet,5,113.51,0.07,527.82,130.39
2024-01-12,South,Furniture,Cabinet,8,255.65,0.04,1963.39,416.2
2024-01-13,East,Office Supplies,Pen Set,2,257.25,0.04,493.92,97.76
2024-01-15,Central,Electronics,Headphones,7,237.8,0.15,1414.91,435.66
2024-01-15,South,Furniture,Cabinet,3,31.94,0.1,86.24,20.13
2024-01-15,North,Furniture,Desk,7,67.57,0.1,425.69,107.76
2024-01-17,East,Office Supplies,Binder,3,114.33,0.09,312.12,64.96
2024-01-22,Central,Office Supplies,Pen Set,8,259.83,0.12,1829.2,485.56
2024-01-22,South,Office Supplies,Pen Set,2,396.26,0.1,713.27,182.46
2024-01-23,South,Furniture,Desk,5,356.94,0.04,1713.31,312.85
2024-01-25,North,Electronics,Headphones,9,278.06,0.12,2202.24,583.01
2024-01-25,South,Electronics,Headphones,9,378.74,0.01,3374.57,1012.19
2024-01-26,East,Electronics,Headphones,5,91.08,0.05,432.63,109.16
2024-01-27,East,Electronics,Phone,8,184.29,0.14,1267.92,318.7
2024-01-29,North,Office Supplies,Notebook,2,347.61,0.12,611.79,178.27
2024-02-02,Central,Office Supplies,Binder,8,124.39,0.08,915.51,224.39
2024-02-04,North,Furniture,Cabinet,8,334.62,0.11,2382.49,752.68
2024-02-04,Central,Furniture,Desk,3,295.77,0.09,807.45,202.75
2024-02-08,Central,Electronics,Tablet,4,339.18,0.12,1193.91,261.6
2024-02-08,West,Electronics,Phone,1,172.73,0.07,160.64,46.05
2024-02-08,Central,Office Supplies,Stapler,8,321.49,0.03,2494.76,838.28
2024-02-09,Central,Office Supplies,Pen Set,2,238.88,0.14,410.87,74.33
2024-02-10,South,Furniture,Cabinet,4,148.99,0.12,524.44,101.54
2024-02-11,North,Electronics,Phone,4,265.45,0.09,966.24,232.42
2024-02-16,West,Electronics,Phone,3,283.7,0.08,783.01,174.46
2024-02-16,North,Electronics,Phone,1,258.47,0.09,235.21,78.37
2024-02-18,North,Electronics,Phone,7,182.18,0.12,1122.23,268.66
2024-02-19,West,Office Supplies,Stapler,5,366.5,0.15,1557.62,329.48
2024-02-20,Central,Furniture,Cabinet,9,371.72,0.07,3111.3,619.93
2024-02-20,East,Electronics,Laptop,2,125.86,0.03,244.17,47.63
2024-02-21,East,Electronics,Tablet,3,240.75,0.01,715.03,215.94
2024-02-23,South,Furniture,Chair,2,314.55,0.14,541.03,179.69
2024-02-24,East,Furniture,Desk,3,264.72,0.06,746.51,137.59
2024-02-27,South,Furniture,Desk,2,398.91,0.06,749.95,192.54
2024-02-28,East,Electronics,Laptop,9,373.43,0.02,3293.65,984.24
2024-03-01,North,Furniture,Cabinet,1,52.12,0.09,47.43,16.49
2024-03-02,West,Electronics,Phone,3,167.9,0.0,503.7,168.19
2024-03-04,Central,Electronics,Headphones,5,47.53,0.06,223.39,58.44
2024-03-09,West,Furniture,Desk,5,297.73,0.14,1280.24,269.89
2024-03-09,West,Office Supplies,Pen Set,8,241.69,0.06,1817.51,469.9
2024-03-16,South,Office Supplies,Notebook,6,25.47,0.02,149.76,28.13
2024-03-16,North,Office Supplies,Binder,4,237.91,0.09,865.99,221.9
2024-03-21,South,Electronics,Headphones,3,333.38,0.05,950.13,280.54
2024-03-22,South,Electronics,Tablet,5,149.89,0.04,719.47,175.94
2024-03-23,North,Electronics,Phone,9,69.08,0.14,534.68,151.34
2024-03-24,West,Furniture,Desk,6,191.88,0.1,1036.15,279.23
2024-03-24,West,Furniture,Sofa,6,229.09,0.01,1360.79,391.41
2024-03-24,East,Electronics,Laptop,3,138.54,0.05,394.84,119.7
2024-03-29,Central,Electronics,Laptop,7,269.7,0.07,1755.75,533.94
2024-03-29,North,Furniture,Chair,2,193.82,0.06,364.38,82.5
2024-03-30,Central,Furniture,Desk,2,119.06,0.07,221.45,65.95
2024-03-30,South,Furniture,Cabinet,5,390.27,0.15,1658.65,495.42
2024-04-01,West,Electronics,Phone,8,23.71,0.05,180.2,48.3
2024-04-03,West,Electronics,Headphones,5,199.92,0.03,969.61,246.04
2024-04-04,East,Electronics,Laptop,1,382.01,0.14,328.53,99.59
2024-04-05,West,Furniture,Chair,7,249.68,0.08,1607.94,344.94
2024-04-07,East,Office Supplies,Binder,1,77.27,0.08,71.09,21.21
2024-04-07,North,Office Supplies,Stapler,1,25.2,0.01,24.95,7.42
2024-04-08,West,Electronics,Headphones,5,305.9,0.12,1345.96,422.95
2024-04-10,North,Electronics,Headphones,5,193.76,0.13,842.86,179.57
2024-04-11,South,Office Supplies,Stapler,8,273.92,0.09,1994.14,516.07
2024-04-11,West,Furniture,Sofa,6,362.52,0.13,1892.35,442.66
2024-04-12,West,Electronics,Tablet,8,247.49,0.02,1940.32,400.71
2024-04-12,North,Furniture,Sofa,8,107.4,0.02,842.02,162.58
2024-04-13,West,Furniture,Sofa,9,272.13,0.0,2449.17,507.8
2024-04-18,Central,Furniture,Desk,7,398.45,0.01,2761.26,843.0
2024-04-20,West,Office Supplies,Pen Set,2,231.94,0.09,422.13,116.49
2024-04-22,Central,Electronics,Headphones,1,121.38,0.15,103.17,25.78
2024-04-23,Central,Office Supplies,Notebook,8,299.33,0.12,2107.28,480.35
2024-04-23,South,Electronics,Phone,8,348.55,0.12,2453.79,488.87
2024-04-27,North,Furniture,Cabinet,6,274.08,0.14,1414.25,388.42
2024-04-28,West,Electronics,Laptop,6,314.06,0.05,1790.14,584.27
2024-04-28,Central,Furniture,Sofa,9,339.47,0.01,3024.68,819.71
2024-05-03,North,Office Supplies,Stapler,4,375.09,0.05,1425.34,281.14
2024-05-04,North,Office Supplies,Stapler,1,108.24,0.13,94.17,23.1
2024-05-05,East,Electronics,Laptop,2,198.09,0.01,392.22,78.52
2024-05-06,North,Electronics,Laptop,1,188.09,0.04,180.57,35.38
2024-05-09,North,Office Supplies,Notebook,4,39.64,0.1,142.7,31.14
2024-05-10,North,Electronics,Phone,7,312.97,0.07,2037.43,547.79
2024-05-10,West,Furniture,Cabinet,1,263.97,0.01,261.33,54.22
2024-05-17,West,Furniture,Chair,8,327.75,0.04,2517.12,744.7
2024-05-18,West,Electronics,Tablet,3,39.69,0.05,113.12,22.95
2024-05-20,Central,Furniture,Cabinet,9,321.62,0.1,2605.12,546.32
2024-05-22,West,Furniture,Desk,7,275.37,0.05,1831.21,377.88
2024-05-24,North,Electronics,Laptop,4,249.06,0.04,956.39,193.8
2024-05-24,East,Electronics,Laptop,2,346.03,0.0,692.06,193.8
2024-05-26,South,Electronics,Headphones,5,279.91,0.09,1273.59,433.61
2024-05-26,North,Office Supplies,Stapler,7,115.33,0.03,783.09,151.72
2024-05-26,West,Electronics,Headphones,7,184.79,0.01,1280.59,265.7
2024-05-27,Central,Office Supplies,Pen Set,5,335.64,0.02,1644.64,309.16
2024-05-28,North,Electronics,Laptop,4,319.36,0.09,1162.47,231.83
2024-05-30,South,Office Supplies,Stapler,9,216.32,0.04,1869.0,652.96
2024-05-31,Central,Electronics,Tablet,7,306.73,0.02,2104.17,701.6
2024-06-01,North,Electronics,Phone,9,61.6,0.06,521.14,104.83
2024-06-05,Central,Office Supplies,Pen Set,2,271.42,0.15,461.41,112.41
2024-06-06,Central,Electronics,Laptop,8,243.23,0.04,1868.01,563.0
2024-06-07,West,Electronics,Headphones,4,170.97,0.12,601.81,123.66
2024-06-09,East,Furniture,Chair,6,284.49,0.09,1553.32,305.26
2024-06-10,Central,Office Supplies,Binder,1,267.63,0.06,251.57,82.25
2024-06-12,Central,Office Supplies,Stapler,3,187.97,0.05,535.71,137.3
2024-06-13,North,Furniture,Desk,7,60.5,0.02,415.03,93.31
2024-06-13,North,Office Supplies,Pen Set,8,378.31,0.05,2875.16,771.1
2024-06-14,South,Furniture,Desk,2,332.15,0.01,657.66,193.33
2024-06-14,North,Office Supplies,Pen Set,6,143.85,0.09,785.42,199.22
